step,loss,ppl,lr,tok_s
8290,5.1616,174.44,0.000288,276
8300,5.2819,196.74,0.000288,276
8310,5.3658,213.96,0.000288,276
8320,5.6277,278.01,0.000288,276
8330,5.8104,333.75,0.000288,276
8340,5.0411,154.64,0.000288,276
8350,5.3307,206.58,0.000288,276
8360,5.5488,256.92,0.000288,276
8370,5.4359,229.51,0.000288,276
8380,5.5928,268.48,0.000288,276
8390,5.3117,202.69,0.000288,276
8400,5.4936,243.13,0.000287,276
8410,5.7625,318.15,0.000287,276
8420,5.173,176.44,0.000287,276
8430,5.3972,220.79,0.000287,277
8440,4.8532,128.15,0.000287,277
8450,5.5613,260.16,0.000287,277
8460,6.0346,417.63,0.000287,277
8470,5.53,252.15,0.000287,277
8480,5.3035,201.05,0.000287,277
8490,5.1769,177.13,0.000287,277
8500,5.2552,191.56,0.000287,277
8510,5.5135,248.01,0.000287,277
8520,5.3759,216.14,0.000287,277
8530,5.1778,177.29,0.000287,277
8540,5.3089,202.12,0.000287,277
8550,5.38,217.02,0.000287,277
8560,5.0477,155.66,0.000287,278
8570,5.368,214.44,0.000287,278
8580,5.4054,222.61,0.000287,278
8590,4.9382,139.52,0.000287,278
8600,5.4111,223.87,0.000287,278
8610,5.027,152.47,0.000287,278
8620,5.3044,201.22,0.000287,278
8630,5.744,312.3,0.000287,278
8640,5.792,327.68,0.000287,278
8650,4.9943,147.57,0.000286,278
8660,5.2463,189.86,0.000286,278
8670,5.4222,226.37,0.000286,278
8680,5.2534,191.21,0.000286,278
8690,5.0494,155.93,0.000286,278
8700,5.4792,239.66,0.000286,278
8710,5.7969,329.28,0.000286,278
8720,5.3062,201.58,0.000286,278
8730,5.3377,208.04,0.000286,278
8740,5.7095,301.72,0.000286,278
8750,5.1567,173.58,0.000286,278
8760,5.1198,167.29,0.000286,278
8770,5.431,228.39,0.000286,278
8780,5.1531,172.96,0.000286,278
8790,5.6877,295.2,0.000286,278
8800,5.1636,174.79,0.000286,278
8810,4.7719,118.14,0.000286,278
8820,5.3251,205.42,0.000286,278
8830,5.4743,238.49,0.000286,278
8840,4.8779,131.35,0.000286,278
8850,5.5211,249.92,0.000286,278
8860,5.5064,246.25,0.000286,278
8870,5.0313,153.14,0.000286,278
8880,4.7779,118.85,0.000286,278
8890,5.1889,179.28,0.000286,278
8900,5.028,152.63,0.000285,277
8910,5.1192,167.2,0.000285,277
8920,5.5315,252.52,0.000285,277
8930,4.961,142.73,0.000285,277
8940,5.2662,193.67,0.000285,276
8950,5.6718,290.57,0.000285,276
8960,5.2439,189.41,0.000285,276
8970,5.3479,210.16,0.000285,276
8980,5.8311,340.73,0.000285,276
8990,5.1834,178.28,0.000285,276
9000,5.1124,166.07,0.000285,275
9010,5.2342,187.58,0.000285,275
9020,5.2773,195.85,0.000285,275
9030,4.8025,121.82,0.000285,275
9040,5.2573,191.97,0.000285,275
9050,5.4144,224.61,0.000285,275
9060,5.4514,233.07,0.000285,275
9070,4.9983,148.16,0.000285,275
9080,5.8136,334.83,0.000285,275
9090,4.7321,113.53,0.000285,275
9100,5.2478,190.14,0.000285,275
9110,5.8511,347.62,0.000285,275
9120,5.3179,203.96,0.000285,275
9130,5.7176,304.17,0.000285,275
9140,5.4339,229.05,0.000284,275
9150,5.0944,163.1,0.000284,275
9160,4.6066,100.15,0.000284,275
9170,5.5215,250.0,0.000284,274
9180,4.9738,144.58,0.000284,274
9190,5.1193,167.23,0.000284,274
9200,4.76,116.74,0.000284,274
9210,5.2995,200.24,0.000284,273
9220,5.2078,182.7,0.000284,273
9230,4.9573,142.2,0.000284,273
9240,5.5598,259.78,0.000284,273
9250,5.5045,245.79,0.000284,273
9260,5.1365,170.12,0.000284,273
9270,5.2467,189.93,0.000284,273
9280,5.8253,338.76,0.000284,273
9290,5.1495,172.34,0.000284,272
9300,5.5848,266.34,0.000284,272
9310,4.9521,141.47,0.000284,272
9320,5.1013,164.24,0.000284,271
9330,4.6138,100.87,0.000284,271
9340,5.1052,164.87,0.000284,271
9350,5.1228,167.81,0.000284,271
9360,5.101,164.19,0.000284,270
9370,5.1831,178.23,0.000283,270
9380,4.9937,147.48,0.000283,270
9390,5.0793,160.66,0.000283,270
9400,5.0579,157.26,0.000283,270
9410,5.277,195.78,0.000283,269
9420,5.6259,277.53,0.000283,269
9430,4.6621,105.86,0.000283,269
9440,5.6807,293.16,0.000283,268
9450,5.2201,184.95,0.000283,268
9460,4.6997,109.92,0.000283,268
9470,5.1556,173.39,0.000283,268
9480,5.2155,184.1,0.000283,268
9490,4.9394,139.68,0.000283,268
9500,5.1057,164.95,0.000283,268
9510,5.564,260.87,0.000283,268
9520,5.2148,183.98,0.000283,267
9530,5.1884,179.18,0.000283,267
9540,4.9892,146.81,0.000283,267
9550,4.8814,131.82,0.000283,267
9560,5.2635,193.16,0.000283,267
9570,4.9297,138.33,0.000283,267
9580,5.0869,161.9,0.000283,267
9590,4.8537,128.21,0.000282,266
9600,4.9135,136.12,0.000282,266
9610,5.2183,184.62,0.000282,266
9620,5.3956,220.42,0.000282,266
9630,5.3475,210.07,0.000282,266
9640,5.5102,247.19,0.000282,265
9650,5.0139,150.49,0.000282,265
9660,5.4008,221.58,0.000282,265
9670,5.1441,171.42,0.000282,265
9680,5.735,309.51,0.000282,265
9690,5.2127,183.59,0.000282,265
9700,5.1448,171.55,0.000282,265
9710,4.7,109.95,0.000282,264
9720,5.8772,356.8,0.000282,264
9730,5.2413,188.91,0.000282,264
9740,4.9158,136.43,0.000282,264
9750,5.1545,173.21,0.000282,264
9760,5.1471,171.93,0.000282,263
9770,5.118,167.01,0.000282,263
9780,5.8695,354.06,0.000282,263
9790,4.9689,143.87,0.000282,263
9800,5.5819,265.58,0.000282,263
9810,5.1944,180.26,0.000281,263
9820,5.2691,194.25,0.000281,262
9830,5.0372,154.04,0.000281,262
9840,5.202,181.64,0.000281,262
9850,4.9112,135.8,0.000281,262
9860,4.9038,134.8,0.000281,262
9870,5.0151,150.68,0.000281,261
9880,4.977,145.03,0.000281,261
9890,5.256,191.72,0.000281,261
9900,5.1176,166.94,0.000281,261
9910,4.7186,112.01,0.000281,260
9920,5.5043,245.75,0.000281,260
9930,4.9067,135.19,0.000281,260
9940,5.1098,165.64,0.000281,260
9950,5.1108,165.81,0.000281,260
9960,5.0223,151.77,0.000281,260
9970,5.2939,199.13,0.000281,259
9980,5.1997,181.23,0.000281,259
9990,4.6603,105.67,0.000281,259
10000,5.0304,152.99,0.000281,259
10010,4.8387,126.31,0.000281,259
10020,5.1396,170.65,0.00028,259
10030,4.9917,147.19,0.00028,259
10040,5.15,172.44,0.00028,259
10050,4.8273,124.87,0.00028,258
10060,5.0023,148.76,0.00028,258
10070,4.6752,107.25,0.00028,258
10080,5.6505,284.44,0.00028,258
10090,4.9714,144.23,0.00028,258
10100,5.1014,164.25,0.00028,258
10110,5.5957,269.27,0.00028,257
10120,5.0642,158.26,0.00028,257
10130,4.7283,113.11,0.00028,257
10140,5.0473,155.61,0.00028,257
10150,5.1584,173.88,0.00028,257
10160,4.8802,131.66,0.00028,257
10170,4.3813,79.94,0.00028,257
10180,4.8505,127.8,0.00028,256
10190,4.8127,123.06,0.00028,256
10200,4.5556,95.16,0.00028,256
10210,5.1501,172.45,0.00028,256
10220,5.1585,173.9,0.00028,256
10230,4.8148,123.32,0.000279,256
10240,4.8536,128.2,0.000279,255
10250,4.762,116.98,0.000279,255
10260,4.7481,115.37,0.000279,255
10270,4.7635,117.16,0.000279,255
10280,5.0661,158.56,0.000279,255
10290,4.7103,111.08,0.000279,255
10300,5.0281,152.64,0.000279,255
10310,4.7715,118.1,0.000279,255
10320,4.7136,111.45,0.000279,255
10330,5.0129,150.34,0.000279,255
10340,5.0845,161.5,0.000279,255
10350,4.7995,121.44,0.000279,255
10360,4.6352,103.05,0.000279,255
10370,4.7156,111.68,0.000279,255
10380,5.0394,154.38,0.000279,255
10390,5.4845,240.93,0.000279,255
10400,5.6578,286.5,0.000279,255
10410,4.8517,127.96,0.000279,255
10420,4.7598,116.72,0.000279,254
10430,5.3048,201.3,0.000278,254
10440,4.7433,114.81,0.000278,254
10450,5.0243,152.07,0.000278,254
10460,4.8378,126.19,0.000278,254
10470,5.2802,196.41,0.000278,254
10480,5.2294,186.69,0.000278,254
10490,5.2159,184.18,0.000278,254
10500,5.3173,203.84,0.000278,254
10510,4.8285,125.02,0.000278,254
10520,4.9608,142.71,0.000278,254
10530,4.7856,119.78,0.000278,254
10540,5.1312,169.22,0.000278,254
10550,4.5938,98.87,0.000278,254
10560,4.8545,128.32,0.000278,254
10570,4.7099,111.04,0.000278,254
10580,5.5341,253.19,0.000278,254
10590,5.4051,222.53,0.000278,254
10600,4.4603,86.51,0.000278,254
10610,4.4833,88.53,0.000278,253
10620,5.2967,199.67,0.000278,253
10630,5.2872,197.79,0.000277,253
10640,4.8195,123.9,0.000277,253
10650,4.5156,91.43,0.000277,253
10660,4.8576,128.71,0.000277,253
10670,5.0471,155.57,0.000277,253
10680,4.831,125.34,0.000277,253
10690,4.6368,103.22,0.000277,253
10700,4.8922,133.25,0.000277,253
10710,5.3169,203.76,0.000277,253
10720,4.7734,118.32,0.000277,253
10730,4.7756,118.59,0.000277,253
10740,5.4725,238.06,0.000277,253
10750,4.6268,102.19,0.000277,253
10760,4.6102,100.51,0.000277,252
10770,4.6185,101.34,0.000277,252
10780,4.5447,94.14,0.000277,252
10790,4.8298,125.18,0.000277,252
10800,5.0128,150.32,0.000277,252
10810,5.1517,172.73,0.000277,252
10820,4.915,136.32,0.000277,252
10830,5.0381,154.17,0.000276,252
10840,4.9813,145.67,0.000276,252
10850,5.4596,235.0,0.000276,252
10860,4.8045,122.06,0.000276,252
10870,4.877,131.24,0.000276,252
10880,4.6154,101.03,0.000276,251
10890,4.758,116.52,0.000276,251
10900,4.8024,121.8,0.000276,251
10910,4.7085,110.89,0.000276,251
10920,4.5212,91.94,0.000276,251
10930,4.3635,78.53,0.000276,251
10940,4.6021,99.7,0.000276,251
10950,4.6826,108.05,0.000276,251
10960,4.7455,115.06,0.000276,251
10970,5.1947,180.32,0.000276,251
10980,4.7256,112.79,0.000276,251
10990,4.559,95.49,0.000276,251
11000,5.1552,173.34,0.000276,251
11010,4.8119,122.97,0.000276,251
11020,4.5792,97.44,0.000275,251
11030,4.9205,137.08,0.000275,251
11040,4.5618,95.76,0.000275,251
11050,4.8602,129.06,0.000275,251
11060,4.9987,148.22,0.000275,251
11070,4.7051,110.51,0.000275,250
11080,4.5002,90.03,0.000275,250
11090,4.7083,110.86,0.000275,250
11100,5.2507,190.69,0.000275,250
11110,5.0689,159.01,0.000275,250
11120,5.6341,279.82,0.000275,250
11130,5.1092,165.53,0.000275,250
11140,5.1829,178.2,0.000275,250
11150,4.5987,99.36,0.000275,250
11160,4.896,133.75,0.000275,250
11170,4.662,105.85,0.000275,250
11180,4.7446,114.96,0.000275,250
11190,4.5811,97.62,0.000275,250
11200,4.9765,144.96,0.000275,249
11210,4.5437,94.04,0.000274,249
11220,4.4909,89.2,0.000274,249
11230,4.5231,92.12,0.000274,249
11240,4.7798,119.09,0.000274,249
11250,4.579,97.42,0.000274,249
11260,5.0741,159.83,0.000274,249
11270,4.6973,109.65,0.000274,249
11280,5.1207,167.45,0.000274,249
11290,4.9201,137.02,0.000274,249
11300,4.9501,141.2,0.000274,249
11310,5.2713,194.67,0.000274,249
11320,5.3088,202.12,0.000274,248
11330,4.7993,121.43,0.000274,248
11340,5.4246,226.92,0.000274,248
11350,4.4914,89.25,0.000274,248
11360,4.4513,85.74,0.000274,248
11370,4.5854,98.04,0.000274,247
11380,4.3738,79.35,0.000274,247
11390,4.7418,114.64,0.000273,247
11400,4.9774,145.1,0.000273,247
11410,4.5162,91.49,0.000273,247
11420,4.7584,116.55,0.000273,247
11430,5.1996,181.19,0.000273,247
11440,5.1918,179.79,0.000273,247
11450,5.0173,151.0,0.000273,247
11460,4.8726,130.66,0.000273,247
11470,4.3476,77.29,0.000273,247
11480,5.1817,177.98,0.000273,246
11490,4.7594,116.67,0.000273,246
11500,4.6779,107.54,0.000273,246
11510,4.8199,123.95,0.000273,246
11520,4.2622,70.97,0.000273,246
11530,4.7448,114.98,0.000273,245
11540,4.5325,92.99,0.000273,245
11550,4.8003,121.55,0.000273,245
11560,4.6428,103.84,0.000273,245
11570,5.3172,203.81,0.000272,245
11580,4.3351,76.34,0.000272,245
11590,4.6982,109.75,0.000272,245
11600,4.6019,99.68,0.000272,245
11610,4.6651,106.18,0.000272,245
11620,4.656,105.21,0.000272,245
11630,4.6717,106.88,0.000272,245
11640,4.4514,85.74,0.000272,245
11650,4.5544,95.05,0.000272,245
11660,4.8759,131.1,0.000272,245
11670,4.2424,69.57,0.000272,245
11680,4.755,116.17,0.000272,245
11690,4.1388,62.73,0.000272,245
11700,4.5355,93.27,0.000272,245
11710,5.0038,148.98,0.000272,245
11720,4.6549,105.1,0.000272,245
11730,4.4673,87.12,0.000272,245
11740,4.7167,111.8,0.000272,244
11750,4.8806,131.71,0.000271,244
11760,4.2188,67.95,0.000271,244
11770,4.7081,110.84,0.000271,244
11780,4.7973,121.19,0.000271,244
11790,4.4796,88.2,0.000271,243
11800,4.442,84.95,0.000271,243
11810,4.4361,84.45,0.000271,243
11820,4.8469,127.34,0.000271,243
11830,4.3333,76.19,0.000271,243
11840,4.5518,94.8,0.000271,243
11850,4.1907,66.07,0.000271,243
11860,5.069,159.01,0.000271,243
11870,4.7385,114.26,0.000271,243
11880,4.8507,127.83,0.000271,243
11890,4.6476,104.33,0.000271,243
11900,4.3129,74.66,0.000271,243
11910,4.3657,78.71,0.000271,243
11920,4.6574,105.36,0.000271,242
11930,4.5104,90.95,0.00027,242
11940,4.4468,85.35,0.00027,242
11950,4.6301,102.53,0.00027,242
11960,4.8815,131.83,0.00027,242
11970,4.4953,89.6,0.00027,242
11980,4.5191,91.75,0.00027,242
11990,4.9595,142.52,0.00027,241
12000,4.3363,76.43,0.00027,241
12010,4.7742,118.42,0.00027,241
12020,4.5853,98.04,0.00027,241
12030,4.9557,141.98,0.00027,241
12040,4.4383,84.63,0.00027,241
12050,4.7279,113.05,0.00027,240
12060,5.1122,166.04,0.00027,240
12070,3.9323,51.03,0.00027,240
12080,4.3198,75.17,0.00027,240
12090,4.2644,71.12,0.00027,240
12100,4.8106,122.81,0.000269,240
12110,4.2502,70.12,0.000269,240
12120,5.0679,158.84,0.000269,240
12130,4.6508,104.67,0.000269,240
12140,4.0497,57.38,0.000269,240
12150,4.5346,93.18,0.000269,239
12160,4.4465,85.33,0.000269,239
12170,4.5722,96.76,0.000269,239
12180,4.3223,75.36,0.000269,239
12190,4.9294,138.29,0.000269,239
12200,4.4402,84.79,0.000269,239
12210,4.4563,86.17,0.000269,239
12220,4.458,86.31,0.000269,238
12230,4.5812,97.63,0.000269,238
12240,4.7318,113.5,0.000269,238
12250,4.6565,105.27,0.000269,238
12260,4.7155,111.67,0.000269,238
12270,5.1827,178.16,0.000268,238
12280,4.189,65.96,0.000268,238
12290,4.9303,138.42,0.000268,238
12300,4.8447,127.06,0.000268,237
12310,4.7894,120.23,0.000268,237
12320,4.4394,84.73,0.000268,237
12330,4.6072,100.2,0.000268,237
12340,4.3716,79.17,0.000268,237
12350,4.8213,124.13,0.000268,237
12360,4.8389,126.34,0.000268,237
12370,5.0401,154.48,0.000268,237
12380,4.6393,103.47,0.000268,236
12390,4.595,98.98,0.000268,236
12400,4.5349,93.21,0.000268,236
12410,4.5083,90.77,0.000268,236
12420,4.6266,102.16,0.000268,236
12430,4.9581,142.32,0.000268,236
12440,4.8795,131.56,0.000267,236
12450,4.6669,106.37,0.000267,236
12460,4.8594,128.95,0.000267,236
12470,4.0054,54.89,0.000267,236
12480,4.5448,94.14,0.000267,236
12490,4.7036,110.35,0.000267,235
12500,4.8819,131.88,0.000267,235
12510,4.5639,95.96,0.000267,235
12520,4.0609,58.03,0.000267,235
12530,4.2752,71.89,0.000267,235
12540,4.8239,124.44,0.000267,235
12550,4.2635,71.06,0.000267,235
12560,4.2361,69.13,0.000267,235
12570,4.3898,80.62,0.000267,235
12580,4.3061,74.15,0.000267,235
12590,4.4029,81.69,0.000267,235
12600,4.0866,59.54,0.000266,235
12610,4.2985,73.59,0.000266,235
12620,4.3915,80.76,0.000266,235
12630,4.1796,65.34,0.000266,235
12640,4.6191,101.4,0.000266,235
12650,4.4027,81.67,0.000266,235
12660,4.5256,92.35,0.000266,235
12670,4.3455,77.13,0.000266,235
12680,4.1609,64.13,0.000266,235
12690,4.2792,72.18,0.000266,235
12700,3.9823,53.64,0.000266,235
12710,4.0151,55.43,0.000266,235
12720,4.3329,76.16,0.000266,235
12730,4.5113,91.04,0.000266,235
12740,4.5827,97.78,0.000266,235
12750,4.5622,95.79,0.000266,235
12760,4.1598,64.06,0.000266,235
12770,4.4869,88.85,0.000265,235
12780,4.5178,91.64,0.000265,235
12790,4.6131,100.79,0.000265,235
12800,4.6714,106.84,0.000265,235
12810,4.5902,98.52,0.000265,235
12820,4.223,68.24,0.000265,235
12830,4.3739,79.35,0.000265,235
12840,4.7653,117.36,0.000265,235
12850,4.971,144.17,0.000265,235
12860,4.1071,60.77,0.000265,235
12870,4.9855,146.28,0.000265,235
12880,4.3407,76.76,0.000265,235
12890,4.4967,89.72,0.000265,235
12900,4.4753,87.82,0.000265,235
12910,4.7498,115.56,0.000265,235
12920,4.2627,71.0,0.000265,235
12930,4.011,55.2,0.000264,235
12940,4.3657,78.71,0.000264,235
12950,4.5915,98.65,0.000264,235
12960,4.5314,92.89,0.000264,235
12970,5.2822,196.81,0.000264,235
12980,4.2214,68.13,0.000264,235
12990,4.3426,76.9,0.000264,235
13000,4.3716,79.17,0.000264,236
13010,4.6834,108.14,0.000264,236
13020,4.542,93.88,0.000264,236
13030,4.3618,78.39,0.000264,236
13040,4.2212,68.11,0.000264,236
13050,4.7868,119.91,0.000264,236
13060,4.6262,102.12,0.000264,236
13070,4.1226,61.72,0.000264,236
13080,4.4098,82.26,0.000264,236
13090,4.5634,95.91,0.000263,236
13100,4.2517,70.22,0.000263,235
13110,4.6068,100.16,0.000263,235
13120,4.0462,57.18,0.000263,235
13130,4.0133,55.33,0.000263,235
13140,4.303,73.92,0.000263,235
13150,3.9315,50.98,0.000263,235
13160,3.8976,49.29,0.000263,235
13170,4.4811,88.34,0.000263,235
13180,4.3134,74.69,0.000263,235
13190,4.1133,61.15,0.000263,235
13200,4.4619,86.66,0.000263,235
13210,4.5064,90.59,0.000263,235
13220,4.3158,74.87,0.000263,235
13230,4.589,98.39,0.000263,235
13240,4.464,86.83,0.000263,235
13250,4.6752,107.26,0.000262,235
13260,4.094,59.98,0.000262,235
13270,4.9711,144.19,0.000262,235
13280,4.6954,109.44,0.000262,235
13290,4.0848,59.43,0.000262,235
13300,4.2537,70.36,0.000262,235
13310,4.2887,72.87,0.000262,235
13320,4.9181,136.75,0.000262,235
13330,3.9127,50.04,0.000262,235
13340,4.4198,83.08,0.000262,235
13350,4.2795,72.2,0.000262,235
13360,3.9824,53.65,0.000262,235
13370,4.2125,67.53,0.000262,235
13380,4.6005,99.54,0.000262,235
13390,4.8231,124.35,0.000262,235
13400,4.5531,94.93,0.000261,235